0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
616: Timestep is 1.78867
52: Timestep is 1.78867
117: Timestep is 1.78867
942: Timestep is 1.78867
440: Timestep is 1.78867
755: Timestep is 1.78867
881: Timestep is 1.78867
244: Timestep is 1.78867
369: Timestep is 1.78867
819: Timestep is 1.78867
306: Timestep is 1.78867
567: Timestep is 1.78867
1010: Timestep is 1.78867
687: Timestep is 1.78867
182: Timestep is 1.78867
499: Timestep is 1.78867
618: Timestep is 1.78867
53: Timestep is 1.78867
118: Timestep is 1.78867
946: Timestep is 1.78867
441: Timestep is 1.78867
756: Timestep is 1.78867
882: Timestep is 1.78867
246: Timestep is 1.78867
371: Timestep is 1.78867
821: Timestep is 1.78867
308: Timestep is 1.78867
568: Timestep is 1.78867
1013: Timestep is 1.78867
690: Timestep is 1.78867
183: Timestep is 1.78867
501: Timestep is 1.78867
619: Timestep is 1.78867
54: Timestep is 1.78867
120: Timestep is 1.78867
949: Timestep is 1.78867
442: Timestep is 1.78867
757: Timestep is 1.78867
883: Timestep is 1.78867
248: Timestep is 1.78867
372: Timestep is 1.78867
823: Timestep is 1.78867
311: Timestep is 1.78867
569: Timestep is 1.78867
1015: Timestep is 1.78867
691: Timestep is 1.78867
184: Timestep is 1.78867
502: Timestep is 1.78867
627: Timestep is 1.78867
55: Timestep is 1.78867
121: Timestep is 1.78867
953: Timestep is 1.78867
443: Timestep is 1.78867
758: Timestep is 1.78867
885: Timestep is 1.78867
249: Timestep is 1.78867
373: Timestep is 1.78867
824: Timestep is 1.78867
312: Timestep is 1.78867
570: Timestep is 1.78867
1016: Timestep is 1.78867
693: Timestep is 1.78867
186: Timestep is 1.78867
503: Timestep is 1.78867
629: Timestep is 1.78867
57: Timestep is 1.78867
122: Timestep is 1.78867
954: Timestep is 1.78867
444: Timestep is 1.78867
759: Timestep is 1.78867
888: Timestep is 1.78867
250: Timestep is 1.78867
374: Timestep is 1.78867
825: Timestep is 1.78867
313: Timestep is 1.78867
572: Timestep is 1.78867
1017: Timestep is 1.78867
694: Timestep is 1.78867
187: Timestep is 1.78867
505: Timestep is 1.78867
630: Timestep is 1.78867
58: Timestep is 1.78867
123: Timestep is 1.78867
955: Timestep is 1.78867
445: Timestep is 1.78867
762: Timestep is 1.78867
889: Timestep is 1.78867
251: Timestep is 1.78867
375: Timestep is 1.78867
826: Timestep is 1.78867
314: Timestep is 1.78867
573: Timestep is 1.78867
1019: Timestep is 1.78867
697: Timestep is 1.78867
188: Timestep is 1.78867
509: Timestep is 1.78867
633: Timestep is 1.78867
59: Timestep is 1.78867
124: Timestep is 1.78867
956: Timestep is 1.78867
446: Timestep is 1.78867
765: Timestep is 1.78867
890: Timestep is 1.78867
252: Timestep is 1.78867
377: Timestep is 1.78867
827: Timestep is 1.78867
315: Timestep is 1.78867
574: Timestep is 1.78867
1021: Timestep is 1.78867
698: Timestep is 1.78867
190: Timestep is 1.78867
510: Timestep is 1.78867
638: Timestep is 1.78867
62: Timestep is 1.78867
125: Timestep is 1.78867
959: Timestep is 1.78867
447: Timestep is 1.78867
767: Timestep is 1.78867
894: Timestep is 1.78867
255: Timestep is 1.78867
830: Timestep is 1.78867
316: Timestep is 1.78867
575: Timestep is 1.78867
1023: Timestep is 1.78867
703: Timestep is 1.78867
191: Timestep is 1.78867
511: Timestep is 1.78867
639: Timestep is 1.78867
63: Timestep is 1.78867
126: Timestep is 1.78867
1: Write took 0 seconds
127: Timestep is 1.78867
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
1: Write took 0 seconds
