0: output to qw.tmove.dmc.o
1888: Timestep is 1.15623161764706
1415: Timestep is 1.15623161764706
304: Timestep is 1.15623161764706
2: Timestep is 1.15623161764706
579: Timestep is 1.15623161764706
850: Timestep is 1.15623161764706
1339: Timestep is 1.15623161764706
1930: Timestep is 1.15623161764706
1892: Timestep is 1.15623161764706
1416: Timestep is 1.15623161764706
3: Timestep is 1.15623161764706
1348: Timestep is 1.15623161764706
1932: Timestep is 1.15623161764706
1894: Timestep is 1.15623161764706
305: Timestep is 1.15623161764706
580: Timestep is 1.15623161764706
851: Timestep is 1.15623161764706
1351: Timestep is 1.15623161764706
1417: Timestep is 1.15623161764706
306: Timestep is 1.15623161764706
852: Timestep is 1.15623161764706
1093: Timestep is 1.15623161764706
1933: Timestep is 1.15623161764706
1897: Timestep is 1.15623161764706
4: Timestep is 1.15623161764706
581: Timestep is 1.15623161764706
855: Timestep is 1.15623161764706
1094: Timestep is 1.15623161764706
1934: Timestep is 1.15623161764706
1901: Timestep is 1.15623161764706
1418: Timestep is 1.15623161764706
307: Timestep is 1.15623161764706
5: Timestep is 1.15623161764706
1935: Timestep is 1.15623161764706
1419: Timestep is 1.15623161764706
582: Timestep is 1.15623161764706
856: Timestep is 1.15623161764706
1095: Timestep is 1.15623161764706
1632: Timestep is 1.15623161764706
308: Timestep is 1.15623161764706
6: Timestep is 1.15623161764706
857: Timestep is 1.15623161764706
1096: Timestep is 1.15623161764706
1936: Timestep is 1.15623161764706
1633: Timestep is 1.15623161764706
1421: Timestep is 1.15623161764706
309: Timestep is 1.15623161764706
7: Timestep is 1.15623161764706
583: Timestep is 1.15623161764706
1097: Timestep is 1.15623161764706
1937: Timestep is 1.15623161764706
1634: Timestep is 1.15623161764706
310: Timestep is 1.15623161764706
589: Timestep is 1.15623161764706
1098: Timestep is 1.15623161764706
1938: Timestep is 1.15623161764706
1635: Timestep is 1.15623161764706
311: Timestep is 1.15623161764706
1099: Timestep is 1.15623161764706
1636: Timestep is 1.15623161764706
312: Timestep is 1.15623161764706
1637: Timestep is 1.15623161764706
313: Timestep is 1.15623161764706
1100: Timestep is 1.15623161764706
858: Timestep is 1.15623161764706
1101: Timestep is 1.15623161764706
1939: Timestep is 1.15623161764706
1423: Timestep is 1.15623161764706
314: Timestep is 1.15623161764706
8: Timestep is 1.15623161764706
590: Timestep is 1.15623161764706
859: Timestep is 1.15623161764706
1940: Timestep is 1.15623161764706
1424: Timestep is 1.15623161764706
11: Timestep is 1.15623161764706
860: Timestep is 1.15623161764706
1425: Timestep is 1.15623161764706
12: Timestep is 1.15623161764706
591: Timestep is 1.15623161764706
1941: Timestep is 1.15623161764706
1426: Timestep is 1.15623161764706
13: Timestep is 1.15623161764706
592: Timestep is 1.15623161764706
861: Timestep is 1.15623161764706
1427: Timestep is 1.15623161764706
315: Timestep is 1.15623161764706
14: Timestep is 1.15623161764706
863: Timestep is 1.15623161764706
1429: Timestep is 1.15623161764706
593: Timestep is 1.15623161764706
1942: Timestep is 1.15623161764706
1638: Timestep is 1.15623161764706
316: Timestep is 1.15623161764706
15: Timestep is 1.15623161764706
864: Timestep is 1.15623161764706
1102: Timestep is 1.15623161764706
1943: Timestep is 1.15623161764706
1639: Timestep is 1.15623161764706
1431: Timestep is 1.15623161764706
317: Timestep is 1.15623161764706
16: Timestep is 1.15623161764706
595: Timestep is 1.15623161764706
866: Timestep is 1.15623161764706
1103: Timestep is 1.15623161764706
1944: Timestep is 1.15623161764706
1640: Timestep is 1.15623161764706
318: Timestep is 1.15623161764706
1641: Timestep is 1.15623161764706
319: Timestep is 1.15623161764706
596: Timestep is 1.15623161764706
1104: Timestep is 1.15623161764706
1642: Timestep is 1.15623161764706
320: Timestep is 1.15623161764706
597: Timestep is 1.15623161764706
1643: Timestep is 1.15623161764706
1105: Timestep is 1.15623161764706
1644: Timestep is 1.15623161764706
1106: Timestep is 1.15623161764706
874: Timestep is 1.15623161764706
1107: Timestep is 1.15623161764706
1945: Timestep is 1.15623161764706
1432: Timestep is 1.15623161764706
17: Timestep is 1.15623161764706
598: Timestep is 1.15623161764706
875: Timestep is 1.15623161764706
1108: Timestep is 1.15623161764706
1946: Timestep is 1.15623161764706
1433: Timestep is 1.15623161764706
18: Timestep is 1.15623161764706
876: Timestep is 1.15623161764706
1947: Timestep is 1.15623161764706
1435: Timestep is 1.15623161764706
19: Timestep is 1.15623161764706
599: Timestep is 1.15623161764706
879: Timestep is 1.15623161764706
1437: Timestep is 1.15623161764706
20: Timestep is 1.15623161764706
600: Timestep is 1.15623161764706
1948: Timestep is 1.15623161764706
1438: Timestep is 1.15623161764706
21: Timestep is 1.15623161764706
881: Timestep is 1.15623161764706
1439: Timestep is 1.15623161764706
321: Timestep is 1.15623161764706
601: Timestep is 1.15623161764706
1949: Timestep is 1.15623161764706
1645: Timestep is 1.15623161764706
1440: Timestep is 1.15623161764706
22: Timestep is 1.15623161764706
602: Timestep is 1.15623161764706
884: Timestep is 1.15623161764706
1109: Timestep is 1.15623161764706
1950: Timestep is 1.15623161764706
1646: Timestep is 1.15623161764706
322: Timestep is 1.15623161764706
23: Timestep is 1.15623161764706
1110: Timestep is 1.15623161764706
1951: Timestep is 1.15623161764706
603: Timestep is 1.15623161764706
1111: Timestep is 1.15623161764706
1647: Timestep is 1.15623161764706
323: Timestep is 1.15623161764706
604: Timestep is 1.15623161764706
1648: Timestep is 1.15623161764706
324: Timestep is 1.15623161764706
1649: Timestep is 1.15623161764706
325: Timestep is 1.15623161764706
1650: Timestep is 1.15623161764706
326: Timestep is 1.15623161764706
1112: Timestep is 1.15623161764706
1651: Timestep is 1.15623161764706
327: Timestep is 1.15623161764706
1113: Timestep is 1.15623161764706
886: Timestep is 1.15623161764706
1952: Timestep is 1.15623161764706
1441: Timestep is 1.15623161764706
24: Timestep is 1.15623161764706
605: Timestep is 1.15623161764706
887: Timestep is 1.15623161764706
1114: Timestep is 1.15623161764706
1953: Timestep is 1.15623161764706
25: Timestep is 1.15623161764706
888: Timestep is 1.15623161764706
1115: Timestep is 1.15623161764706
1954: Timestep is 1.15623161764706
1442: Timestep is 1.15623161764706
26: Timestep is 1.15623161764706
606: Timestep is 1.15623161764706
889: Timestep is 1.15623161764706
1443: Timestep is 1.15623161764706
27: Timestep is 1.15623161764706
607: Timestep is 1.15623161764706
890: Timestep is 1.15623161764706
1955: Timestep is 1.15623161764706
1445: Timestep is 1.15623161764706
28: Timestep is 1.15623161764706
1959: Timestep is 1.15623161764706
1446: Timestep is 1.15623161764706
328: Timestep is 1.15623161764706
608: Timestep is 1.15623161764706
891: Timestep is 1.15623161764706
1652: Timestep is 1.15623161764706
1447: Timestep is 1.15623161764706
29: Timestep is 1.15623161764706
611: Timestep is 1.15623161764706
1450: Timestep is 1.15623161764706
892: Timestep is 1.15623161764706
1116: Timestep is 1.15623161764706
1960: Timestep is 1.15623161764706
1653: Timestep is 1.15623161764706
329: Timestep is 1.15623161764706
